,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,city,tot_mobility
0,2020-02-17,10.0,3.3636363636363638,17.15625,-3.5757575757575757,-12.606060606060606,2.28125,Greater London,-0.7045454545454546
1,2020-02-18,6.696969696969697,-1.7272727272727273,7.515151515151516,-5.454545454545454,-12.212121212121213,2.5,Greater London,-3.1742424242424243
2,2020-02-19,5.424242424242424,-2.484848484848485,-5.606060606060606,-6.666666666666667,-12.424242424242424,2.6875,Greater London,-4.037878787878788
3,2020-02-20,2.4545454545454546,-3.272727272727273,-11.575757575757576,-7.878787878787879,-12.969696969696969,3.09375,Greater London,-5.416666666666666
4,2020-02-21,3.121212121212121,-0.15151515151515152,8.727272727272727,-5.393939393939394,-13.333333333333334,2.8125,Greater London,-3.9393939393939394
5,2020-02-24,-4.757575757575758,-0.45454545454545453,-7.303030303030303,-2.696969696969697,-0.7878787878787878,1.0625,Greater London,-2.174242424242424
6,2020-02-25,-1.0606060606060606,3.1818181818181817,3.272727272727273,-0.24242424242424243,1.121212121212121,0.03125,Greater London,0.75
7,2020-02-26,-0.7272727272727273,0.5454545454545454,6.0606060606060606,-2.696969696969697,1.393939393939394,0.09375,Greater London,-0.3712121212121212
8,2020-02-27,-1.303030303030303,-0.12121212121212122,-1.2727272727272727,-1.8181818181818181,0.15151515151515152,0.90625,Greater London,-0.7727272727272727
9,2020-02-28,-2.515151515151515,-0.2727272727272727,-10.333333333333334,-1.5454545454545454,0.09090909090909091,1.09375,Greater London,-1.0606060606060608
10,2020-03-02,1.0909090909090908,4.787878787878788,11.454545454545455,-2.787878787878788,0.7878787878787878,0.34375,Greater London,0.9696969696969697
11,2020-03-03,0.5757575757575758,3.272727272727273,4.181818181818182,-3.606060606060606,1.0606060606060606,0.375,Greater London,0.3257575757575758
12,2020-03-04,-0.9696969696969697,2.4242424242424243,-7.212121212121212,-3.606060606060606,0.696969696969697,1.0625,Greater London,-0.3636363636363636
13,2020-03-05,-9.0,-3.3333333333333335,-21.393939393939394,-4.909090909090909,-0.6363636363636364,2.0,Greater London,-4.46969696969697
14,2020-03-06,1.393939393939394,8.484848484848484,22.454545454545453,-1.4242424242424243,0.15151515151515152,0.75,Greater London,2.151515151515152
15,2020-03-09,-2.9696969696969697,6.151515151515151,4.0606060606060606,-5.121212121212121,-1.0606060606060606,1.34375,Greater London,-0.75
16,2020-03-10,-4.575757575757576,7.606060606060606,1.696969696969697,-5.575757575757576,-1.9696969696969697,1.90625,Greater London,-1.128787878787879
17,2020-03-11,-2.878787878787879,8.606060606060606,13.848484848484848,-9.212121212121213,-2.696969696969697,2.34375,Greater London,-1.5454545454545459
18,2020-03-12,-5.333333333333333,15.303030303030303,1.2121212121212122,-12.757575757575758,-5.878787878787879,3.375,Greater London,-2.166666666666667
